step,efficiency/elapsed_wall_seconds,efficiency/optimizer_state_bytes,efficiency/peak_cuda_memory_bytes,efficiency/sequences_per_second,efficiency/tokens_per_second,grad_norm,lr,memory/max_allocated_gb,memory/max_reserved_gb,step_loss,throughput/sequences_per_second,throughput/tokens_per_second,wall_time_seconds
10,32.047370593994856,3700044424.0,9337272832.0,9.98521857078542,10214.878597913485,2.0663819313049316,3.6e-05,8.6960129737854,10.384765625,10.090397834777832,9.98521857078542,10214.878597913485,32.047370593994856
20,35.536235347855836,3700044424.0,9337272832.0,91.72037971545599,93829.94844891147,1.7660562992095947,7.6e-05,8.6960129737854,10.384765625,8.655884742736816,91.72037971545599,93829.94844891147,35.536235347855836
30,39.02764589199796,3700044424.0,9337272832.0,91.65350105758675,93761.53158191126,1.1804091930389404,0.000116,8.6960129737854,10.384765625,7.730581283569336,91.65350105758675,93761.53158191126,39.02764589199796
40,42.52029279083945,3700044424.0,9337272832.0,91.62105682831675,93728.34113536804,1.1285111904144287,0.00015600000000000002,8.6960129737854,10.384765625,7.251716136932373,91.62105682831675,93728.34113536804,42.52029279083945
50,46.01809682394378,3700044424.0,9337272832.0,91.48597147565106,93590.14881959104,1.0254484415054321,0.000196,8.6960129737854,10.384765625,6.936981678009033,91.48597147565106,93590.14881959104,46.01809682394378
60,49.52225086186081,3700044424.0,9337272832.0,91.32018642371582,93420.55071146128,1.100451946258545,0.000236,8.6960129737854,10.384765625,6.780545711517334,91.32018642371582,93420.55071146128,49.52225086186081
70,53.036372186848894,3700044424.0,9337272832.0,91.06117017774999,93155.57709183823,1.0665538311004639,0.000276,8.6960129737854,10.384765625,6.617053508758545,91.06117017774999,93155.57709183823,53.036372186848894
80,56.55395837081596,3700044424.0,9337272832.0,90.97147397796233,93063.81787945546,0.5989680886268616,0.00031600000000000004,8.6960129737854,10.384765625,6.575160026550293,90.97147397796233,93063.81787945546,56.55395837081596
90,60.076297462917864,3700044424.0,9337272832.0,90.84872058954578,92938.24116310533,0.6807435750961304,0.00035600000000000003,8.6960129737854,10.384765625,6.390527725219727,90.84872058954578,92938.24116310533,60.076297462917864
100,63.60279661999084,3700044424.0,9337272832.0,90.74155011725642,92828.60576995333,0.5339207649230957,0.00039600000000000003,8.6960129737854,10.384765625,6.463598728179932,90.74155011725642,92828.60576995333,63.60279661999084
110,67.13282939395867,3700044424.0,9337272832.0,90.65071643522255,92735.68291323267,0.7391461133956909,0.000399265306122449,8.6960129737854,10.384765625,6.2587175369262695,90.65071643522255,92735.68291323267,67.13282939395867
120,70.66423225682229,3700044424.0,9337272832.0,90.61554640653826,92699.70397388864,0.5973055362701416,0.0003984489795918367,8.6960129737854,10.384765625,6.169052600860596,90.61554640653826,92699.70397388864,70.66423225682229
130,74.19815539801493,3700044424.0,9337272832.0,90.55092236443063,92633.59357881254,0.4454754889011383,0.00039763265306122454,8.6960129737854,10.384765625,6.237497329711914,90.55092236443063,92633.59357881254,74.19815539801493
140,77.73566146683879,3700044424.0,9337272832.0,90.45920876862066,92539.77057029892,0.8643224835395813,0.00039681632653061226,8.6960129737854,10.384765625,6.308789253234863,90.45920876862066,92539.77057029892,77.73566146683879
150,81.28138637682423,3700044424.0,9337272832.0,90.2495281285976,92325.26727555535,0.43837499618530273,0.00039600000000000003,8.6960129737854,10.384765625,6.026954174041748,90.2495281285976,92325.26727555535,81.28138637682423
160,84.82433109683916,3700044424.0,9337272832.0,90.3203479840497,92397.71598768285,0.5669335126876831,0.00039518367346938775,8.6960129737854,10.384765625,6.002270221710205,90.3203479840497,92397.71598768285,84.82433109683916
170,88.37120491894893,3700044424.0,9337272832.0,90.22029427865455,92295.3610470636,0.4288136959075928,0.0003943673469387756,8.6960129737854,10.384765625,5.964953899383545,90.22029427865455,92295.3610470636,88.37120491894893
180,91.92026410601102,3700044424.0,9337272832.0,90.1647403251385,92238.52935261668,0.4099729359149933,0.0003935510204081633,8.6960129737854,10.384765625,6.026703357696533,90.1647403251385,92238.52935261668,91.92026410601102
190,95.47246963600628,3700044424.0,9337272832.0,90.08487749311813,92156.82967545986,0.45152443647384644,0.00039273469387755106,8.6960129737854,10.384765625,5.9093828201293945,90.08487749311813,92156.82967545986,95.47246963600628
200,99.0271135289222,3700044424.0,9337272832.0,90.02308237900588,92093.61327372302,0.4086724817752838,0.0003919183673469388,8.6960129737854,10.384765625,5.875791549682617,90.02308237900588,92093.61327372302,99.0271135289222
210,102.58285511191934,3700044424.0,9337272832.0,89.99529142673839,92065.18312955338,0.36339330673217773,0.00039110204081632655,8.6960129737854,10.384765625,5.799116134643555,89.99529142673839,92065.18312955338,102.58285511191934
220,106.14072860986926,3700044424.0,9337272832.0,89.94136530834714,92010.01671043911,0.3469785153865814,0.0003902857142857143,8.6960129737854,10.384765625,5.8341779708862305,89.94136530834714,92010.01671043911,106.14072860986926
230,109.70148520101793,3700044424.0,9337272832.0,89.86854108350335,91935.51752842392,0.3367970883846283,0.00038946938775510204,8.6960129737854,10.384765625,5.717835903167725,89.86854108350335,91935.51752842392,109.70148520101793
240,113.26136068697087,3700044424.0,9337272832.0,89.89078445656342,91958.27249906438,0.3494283854961395,0.0003886530612244898,8.6960129737854,10.384765625,5.751014232635498,89.89078445656342,91958.27249906438,113.26136068697087
250,126.18237147200853,3700044424.0,9337272832.0,24.765864321586626,25335.47920098312,0.36012786626815796,0.00038783673469387753,8.6960129737854,11.88671875,5.58499813079834,24.765864321586626,25335.47920098312,126.18237147200853
260,139.0655321299564,3700044424.0,9337272832.0,24.838625279626978,25409.913661058396,0.2688208520412445,0.00038702040816326536,8.6960129737854,12.1171875,5.605893611907959,24.838625279626978,25409.913661058396,139.0655321299564
270,151.94105900195427,3700044424.0,9337272832.0,24.85335188076435,25424.978974021928,0.3222562372684479,0.0003862040816326531,8.6960129737854,12.1171875,5.539270401000977,24.85335188076435,25424.978974021928,151.94105900195427
280,164.80594685999677,3700044424.0,9337272832.0,24.873905123079,25446.004940909817,0.30631038546562195,0.00038538775510204085,8.6960129737854,12.1171875,5.59732723236084,24.873905123079,25446.004940909817,164.80594685999677
290,177.66979866288602,3700044424.0,9337272832.0,24.875908468420562,25448.054363194235,0.3142807185649872,0.00038457142857142856,8.6960129737854,12.1171875,5.6495771408081055,24.875908468420562,25448.054363194235,177.66979866288602
300,190.53054643888026,3700044424.0,9337272832.0,24.881912434151705,25454.196420137196,0.28157591819763184,0.00038375510204081634,8.6960129737854,12.1171875,5.555245876312256,24.881912434151705,25454.196420137196,190.53054643888026
310,203.38449265202507,3700044424.0,9337272832.0,24.89507849914285,25467.665304623137,0.2916112542152405,0.0003829387755102041,8.6960129737854,12.1171875,5.70015811920166,24.89507849914285,25467.665304623137,203.38449265202507
320,216.2342661570292,3700044424.0,9337272832.0,24.903162680290162,25475.935421936836,0.2761845886707306,0.0003821224489795919,8.6960129737854,12.1171875,5.472546100616455,24.903162680290162,25475.935421936836,216.2342661570292
330,229.0901968178805,3700044424.0,9337272832.0,24.891235682723423,25463.734103426064,0.2700067460536957,0.0003813061224489796,8.6960129737854,12.1171875,5.3982648849487305,24.891235682723423,25463.734103426064,229.0901968178805
340,241.94541323999874,3700044424.0,9337272832.0,24.892618645409883,25465.14887425431,0.3045581877231598,0.00038048979591836737,8.6960129737854,12.1171875,5.641143321990967,24.892618645409883,25465.14887425431,241.94541323999874
350,254.79690775182098,3700044424.0,9337272832.0,24.899827775332145,25472.523814164786,0.30462780594825745,0.0003796734693877551,8.6960129737854,12.1171875,5.416935920715332,24.899827775332145,25472.523814164786,254.79690775182098
360,267.64992171386257,3700044424.0,9337272832.0,24.8968841817994,25469.512517980784,0.2687165439128876,0.0003788571428571429,8.6960129737854,12.1171875,5.233822345733643,24.8968841817994,25469.512517980784,267.64992171386257
370,280.50313986302353,3700044424.0,9337272832.0,24.89648866816199,25469.107907529713,0.2901964485645294,0.00037804081632653063,8.6960129737854,12.1171875,5.49604606628418,24.89648866816199,25469.107907529713,280.50313986302353
380,293.35708860191517,3700044424.0,9337272832.0,24.895073607364715,25467.6603003341,0.2907094657421112,0.0003772244897959184,8.6960129737854,12.1171875,5.511033058166504,24.895073607364715,25467.6603003341,293.35708860191517
390,306.2147022858262,3700044424.0,9337272832.0,24.887977494643636,25460.400977020436,0.30792832374572754,0.0003764081632653061,8.6960129737854,12.1171875,5.452301979064941,24.887977494643636,25460.400977020436,306.2147022858262
400,319.05256880586967,3700044424.0,9337272832.0,24.926260099401365,25499.564081687597,0.2611590623855591,0.0003755918367346939,8.6960129737854,12.1171875,5.342782974243164,24.926260099401365,25499.564081687597,319.05256880586967
410,331.8999971949961,3700044424.0,9337272832.0,24.907708399514068,25480.58569270289,0.3936077952384949,0.00037477551020408166,8.6960129737854,12.1171875,5.267398834228516,24.907708399514068,25480.58569270289,331.8999971949961
420,344.7521552478429,3700044424.0,9337272832.0,24.89854222802054,25471.20869926501,0.2813740670681,0.0003739591836734694,8.6960129737854,12.1171875,5.318232536315918,24.89854222802054,25471.20869926501,344.7521552478429
430,357.60154276294634,3700044424.0,9337272832.0,24.90391076024948,25476.700707735217,0.300101637840271,0.00037314285714285715,8.6960129737854,12.1171875,5.340912818908691,24.90391076024948,25476.700707735217,357.60154276294634
440,370.45035719894804,3700044424.0,9337272832.0,24.905021517267524,25477.837012164677,0.2744044363498688,0.00037232653061224487,8.6960129737854,12.1171875,5.106331825256348,24.905021517267524,25477.837012164677,370.45035719894804
450,383.2996244558599,3700044424.0,9337272832.0,24.904143839631512,25476.939147943038,0.2664135992527008,0.0003715102040816327,8.6960129737854,12.1171875,5.255797863006592,24.904143839631512,25476.939147943038,383.2996244558599
460,396.1528835359495,3700044424.0,9337272832.0,24.896409385826257,25469.02680170026,0.2972368896007538,0.0003706938775510204,8.6960129737854,12.1171875,5.36796760559082,24.896409385826257,25469.02680170026,396.1528835359495
470,409.0026935059577,3700044424.0,9337272832.0,24.903092010456835,25475.86312669734,0.25062981247901917,0.0003698775510204082,8.6960129737854,12.1171875,5.121030807495117,24.903092010456835,25475.86312669734,409.0026935059577
480,421.8542961778585,3700044424.0,9337272832.0,24.899618216462624,25472.309435441264,0.34222736954689026,0.0003690612244897959,8.6960129737854,12.1171875,5.318650722503662,24.899618216462624,25472.309435441264,421.8542961778585
490,434.7106520968955,3700044424.0,9337272832.0,24.890412338861967,25462.891822655794,0.29004302620887756,0.00036824489795918373,8.6960129737854,12.1171875,5.21992301940918,24.890412338861967,25462.891822655794,434.7106520968955
500,447.5507012140006,3700044424.0,9337272832.0,24.922023045356326,25495.22957539952,0.277172714471817,0.00036742857142857145,8.6960129737854,12.1171875,5.281486511230469,24.922023045356326,25495.22957539952,447.5507012140006
500.0,,,,,,,,,,,,,
510,464.3751439319458,3700044424.0,10347533312.0,19.01994647696017,19457.40524593025,0.2830694913864136,0.0003666122448979592,9.63689136505127,12.310546875,5.154213905334473,19.01994647696017,19457.40524593025,464.3751439319458
520,477.2295417150017,3700044424.0,10347533312.0,24.89420394487946,25466.770635611687,0.2398308515548706,0.00036579591836734694,9.63689136505127,12.310546875,5.0663251876831055,24.89420394487946,25466.770635611687,477.2295417150017
530,490.07390495203435,3700044424.0,10347533312.0,24.91365232317481,25486.66632660783,0.2989973723888397,0.0003649795918367347,9.63689136505127,12.310546875,5.336233615875244,24.91365232317481,25486.66632660783,490.07390495203435
540,502.92555005685426,3700044424.0,10347533312.0,24.899536004148334,25472.225332243746,0.26233604550361633,0.0003641632653061225,9.63689136505127,12.310546875,5.104849338531494,24.899536004148334,25472.225332243746,502.92555005685426
550,515.7802217968274,3700044424.0,10347533312.0,24.893673403181662,25466.22789145484,0.36867427825927734,0.00036334693877551025,9.63689136505127,12.310546875,5.085378170013428,24.893673403181662,25466.22789145484,515.7802217968274
560,528.6302136420272,3700044424.0,10347533312.0,24.902739539055595,25475.502548453875,0.7473544478416443,0.00036253061224489797,9.63689136505127,12.310546875,5.114718437194824,24.902739539055595,25475.502548453875,528.6302136420272
570,541.4820182188414,3700044424.0,10347533312.0,24.899227037525076,25471.90925938815,0.2611390948295593,0.00036171428571428574,9.63689136505127,12.310546875,5.023800849914551,24.899227037525076,25471.90925938815,541.4820182188414
580,554.311165449908,3700044424.0,10347533312.0,24.943201152536435,25516.89477904477,0.2883511185646057,0.0003608979591836735,9.63689136505127,12.310546875,5.07391881942749,24.943201152536435,25516.89477904477,554.311165449908
590,567.1522859868128,3700044424.0,10347533312.0,24.919943635785906,25493.10233940898,0.29232850670814514,0.00036008163265306123,9.63689136505127,12.310546875,5.198281288146973,24.919943635785906,25493.10233940898,567.1522859868128
600,579.9981139628217,3700044424.0,10347533312.0,24.910811556688937,25483.760222492783,0.2685389220714569,0.000359265306122449,9.63689136505127,12.310546875,4.968781471252441,24.910811556688937,25483.760222492783,579.9981139628217
610,592.8393218098208,3700044424.0,10347533312.0,24.919774199806294,25492.92900640184,0.27537801861763,0.0003584489795918367,9.63689136505127,12.310546875,4.9874725341796875,24.919774199806294,25492.92900640184,592.8393218098208
620,605.6900324188173,3700044424.0,10347533312.0,24.901346683192465,25474.07765690589,0.3247795104980469,0.0003576326530612245,9.63689136505127,12.310546875,5.084585666656494,24.901346683192465,25474.07765690589,605.6900324188173
630,618.5391322569922,3700044424.0,10347533312.0,24.90446833086898,25477.271102478964,0.40264269709587097,0.00035681632653061226,9.63689136505127,12.310546875,4.946961879730225,24.90446833086898,25477.271102478964,618.5391322569922
